"log2FoldChange"	"padj"
"ENSG00000178732"	8.22698864430789	0.0175654374140276
"ENSG00000233058"	-2.99562910367213	0.0295418650500558
"ENSG00000185112"	-1.86701444932913	0.0316802471119391
"ENSG00000184203"	-0.814945984609645	0.00836430821337759
"ENSG00000232783"	22.0422348506884	1.06433597343424e-08
"ENSG00000250710"	21.2173420336427	2.75528528773601e-08
"ENSG00000251587"	21.2006694272307	2.81692342803144e-08
"ENSG00000109501"	1.75736027551979	0.0186699187368321
"ENSG00000197468"	21.2667733847603	2.5530570015832e-08
"ENSG00000219492"	22.130834137499	9.64903466025924e-09
"ENSG00000249866"	20.8390091906334	4.50713700288734e-08
"ENSG00000137440"	21.4726551252836	2.01517138611222e-08
"ENSG00000145147"	4.93411584446323	0.0169449926568563
"ENSG00000109819"	4.68572410769828	0.0297447552543624
"ENSG00000153012"	4.65778701928797	0.0350368353134763
"ENSG00000250927"	21.4049663961316	2.1334086668961e-08
"ENSG00000145248"	6.35076708289732	0.0167792609669435
"ENSG00000182223"	6.13579104814622	0.0180251550146691
"ENSG00000128052"	6.04252610962294	0.000644335619602603
"ENSG00000231442"	21.5112518115021	1.9232041167687e-08
"ENSG00000250768"	21.0131756191039	3.55601167507704e-08
"ENSG00000248635"	20.7465630446452	5.17822608737346e-08
"ENSG00000250376"	21.0505143004376	3.38160007571779e-08
"ENSG00000109181"	23.8066364339048	3.33222235197062e-09
"ENSG00000198277"	21.1299548157893	3.08095736806285e-08
"ENSG00000249763"	21.5583618409288	1.82304001913302e-08
"ENSG00000135226"	23.6649637905376	4.15392655910898e-09
"ENSG00000250612"	21.2472947259402	2.62865216763553e-08
"ENSG00000215110"	22.0583781212508	1.0572040913969e-08
"ENSG00000249956"	23.5268022586992	4.51320178072864e-09
"ENSG00000173610"	21.5276767278948	1.87870204112425e-08
"ENSG00000173597"	5.86401494561706	0.0344321015811451
"ENSG00000135222"	22.4282616532514	6.6128993708379e-09
"ENSG00000126549"	22.9481756552056	5.14879900974307e-09
"ENSG00000145309"	21.7877948799646	1.39835895235454e-08
"ENSG00000109208"	22.1074264430643	9.93519164851445e-09
"ENSG00000132464"	23.0277506110397	5.12862894661485e-09
"ENSG00000156140"	5.18207399878883	0.0183281654464064
"ENSG00000081051"	23.9162797384691	3.21872067937577e-09
"ENSG00000079557"	24.0657210256023	2.81085754593679e-09
"ENSG00000138772"	3.91859702361324	0.037382969749976
"ENSG00000196475"	23.0465285151768	5.12862894661485e-09
"ENSG00000163623"	8.50893691919944	0.0460698103232375
